horizon,svar_iv_ebp,svar_iv_ebp_ci90_lower,svar_iv_ebp_ci90_upper,lpiv_recursive_var_ebp,lpiv_recursive_var_ebp_ci90_lower,lpiv_recursive_var_ebp_ci90_upper,lpiv_2sls_ebp,lpiv_2sls_ebp_ci90_lower,lpiv_2sls_ebp_ci90_upper
0,0.7109948993057924,0.19012611133273247,1.8258871311605152,0.6929102881745909,0.1902848948307582,1.7406632639742259,0.6929102881745917,0.19028489483075867,1.740663263974226
1,0.5807509071593128,0.17446036303901313,1.3296551409553,0.5247269695434325,-0.048477137008933406,1.360459082799902,0.550228343399188,-0.06677632499089993,1.415503027401185
2,0.7200325863351065,0.22769769772444487,1.633263544332559,0.44352496637133537,-0.28251691087388203,1.3936997809192073,0.5432460300947147,-0.28869021903024383,1.4708271609790287
3,0.48958852969533173,0.029347788373385197,1.2674462194038982,0.48626685149206333,-0.29065275050350553,1.5450104150217097,0.39061973184335025,-0.3310292131421762,1.6242901069198519
4,0.5017528727412786,0.01544538221544369,1.2771879530598516,0.3486283986000856,-0.48833293077245404,1.340873563856514,0.6400875813070334,-0.5818852729955216,1.507119764052919
5,0.47203108282370465,0.016272932650063347,1.14102118947001,0.34216366324082337,-0.48940619183366696,1.2881479218122176,0.40326577715465994,-0.6753328632152293,1.5442750270201848
6,0.4391965326548914,0.01200564278546404,1.0788424607946203,0.39491511328885004,-0.37385006198490833,1.345138961487086,1.3374357113011002,-0.6891269866600875,1.6737663000643983
7,0.3796356083039676,-0.011400702109180504,0.9464467865836524,0.3253443661022028,-0.40322372110547094,1.1800701383799723,1.4832987477893347,-0.791120590662543,1.588772285779846
8,0.3699302659171307,0.004106669808212069,0.8996626322129384,0.2695440518069846,-0.4068306346560578,1.0308819254619972,0.5698553431614876,-0.9583152372488597,1.5731312416427188
9,0.34959175154285316,0.010050520627788093,0.8406195480220728,0.2660264973853953,-0.33927996106169095,0.9680047035826987,0.2727544314482483,-1.0051292518902384,1.5865811859032812
10,0.32900423470845297,0.017480037707625896,0.796084856716525,0.24900855726582993,-0.2891135625555341,0.8875604348486548,0.9243760622214388,-1.089996919268379,1.5888278363271047
11,0.31037251366382956,0.013876950577952235,0.7418888856431555,0.2163005924338705,-0.28243330979322717,0.7945243009378411,1.1919209184706905,-1.1315971935960818,1.5638276810233958
12,0.29914481846554186,0.02591980012517215,0.7015160445242054,0.1977488490769224,-0.26003005974233084,0.7057200760031754,0.8447838055577666,-1.14464500717807,1.4931056752550438
13,0.2850078050629028,0.026328257499546287,0.6630181269806369,0.18801335888936166,-0.22883659302096399,0.6539544059099275,0.5745265119666617,-1.1744796185420314,1.5231621195137255
14,0.2711631888306977,0.029206184856248207,0.6235799157621447,0.174704148292423,-0.20051778498517336,0.5973302179180947,0.2934780717704282,-1.167611963181472,1.518289141344338
15,0.25851444947061986,0.02869744896426952,0.5854094067075718,0.16053841675064476,-0.1743478470948354,0.5466818590435385,0.12975222957735372,-1.200880792846494,1.4808968906214635
16,0.2469031911666049,0.029357841475712274,0.5516064864372247,0.15045951462717264,-0.15973686847868837,0.5075925200356682,0.0056708191870264366,-1.2360615896807492,1.4350233372595669
17,0.23493537545336632,0.027704768481577862,0.5183949103221717,0.14195418872316165,-0.14150790925765647,0.4670106605560106,-0.07516334818264217,-1.26518809428804,1.4228924419162692
18,0.22343512087742506,0.025657258177216733,0.48689061781947185,0.13273335228099947,-0.1250665531020358,0.4296501639353213,-0.005757230682182278,-1.2256741834512606,1.471582599846157
19,0.21248743573298196,0.02348327393132413,0.4608646674476249,0.12401340213573596,-0.11391885060072131,0.40184316319003166,0.23577657946897995,-1.2683929232319127,1.436924926599566
20,0.2019110104005515,0.0212100407091203,0.43358875615852427,0.11647907974768264,-0.10014834350972257,0.37124600014957804,0.41741142356287375,-1.31840298867027,1.4463953415172994
21,0.19156832958227277,0.017823496717133718,0.40583931654295646,0.10932437585519539,-0.09271325669421612,0.34208623431155066,0.5317679287447188,-1.2980315605428057,1.4575213066792578
22,0.1816267973165654,0.014065170370387117,0.38123020622666304,0.10230323875158318,-0.08705721970597398,0.311892881118539,0.8921130376997067,-1.2967974777862936,1.394193080503757
23,0.17206676814255528,0.012026508993754632,0.3574899661813229,0.09573435706014552,-0.08269704012110857,0.291235585438093,0.8143578554525116,-1.3396316058133624,1.3843858292459221
24,0.16284136568295668,0.009060311851239193,0.33603130500287814,0.08961321565365536,-0.08079395614296271,0.2734076286091357,0.9684747163557411,-1.375850412846376,1.4017985355453733
25,0.153945386152868,0.00560444785833024,0.316117801331753,0.08376042741384188,-0.07991221751788335,0.2559151137089893,0.9932339944765725,-1.3497351159735465,1.4561278438360412
26,0.14540255715399877,0.0025187300114093668,0.29601356807088475,0.07817181645949915,-0.0805706593411863,0.23925446392119493,1.5913938167198478,-1.3639314095441433,1.4054120398379888
27,0.13719771049150262,-0.0007743630002750209,0.2786565328599965,0.07288889283659362,-0.08455077837138292,0.23053801675097937,1.1135381851956307,-1.3854197995316095,1.3835929333128296
28,0.12931825906310096,-0.0061226575796057,0.26846557256657694,0.06787835381536919,-0.08517124272035424,0.22116698984870115,1.2410878726434214,-1.3931840623244367,1.337151017553061
29,0.1217613999520472,-0.00808576072408701,0.25768908096386284,0.0631052746180406,-0.08813181003467063,0.20618626105732832,0.8034738861159668,-1.3488285673179914,1.392246653005208
30,0.11452409223603793,-0.010219634385389807,0.2449381206343474,0.05856883893611752,-0.09421467417170018,0.1955175053513657,1.2507887594876794,-1.4046095962180836,1.3637619492376871
31,0.10759654335054498,-0.012103009608334239,0.22833833422747943,0.05426478740836101,-0.09965399911194917,0.1895163708938519,0.778854349157706,-1.3347419845381931,1.4264470262923814
32,0.10097085423845918,-0.01591124671739455,0.2170896835968973,0.0501778602024641,-0.10169451181421706,0.1840379799137978,1.157888538233018,-1.3138833554597464,1.3797360061642743
33,0.0946404961865294,-0.01988948656341866,0.20688604827956286,0.0462980502072498,-0.10520130243131016,0.17855677182798652,0.7631267286313876,-1.3437444328957744,1.4031666441465513
34,0.08859794588946517,-0.022949719782443003,0.1941035233581811,0.04261986919328756,-0.10773393808509062,0.17249467946762315,1.0742063185918445,-1.384616405794028,1.4229673578346391
35,0.08283470614001022,-0.02713241199852472,0.1861546112519746,0.03913557098075065,-0.10765387666801796,0.17065292575024174,0.5201053803907487,-1.4245209245440595,1.31278284781218
36,0.07734278886796395,-0.03051556898513478,0.17686134552690566,0.035836865226924954,-0.11289702066051328,0.1667883456234723,0.7792090434247206,-1.4367195893317934,1.3333875546278657
